Designator,Mid X,Mid Y,Layer,Rotation
"C101",-22.500,-1.770,top,270.000
"C201",19.700,-10.800,top,90.000
"C202",18.700,-14.900,top,90.000
"C203",29.200,0.500,top,0.000
"C204",26.000,1.100,top,90.000
"C205",24.000,1.100,top,90.000
"C206",22.000,1.100,top,90.000
"C207",-20.525,-13.000,top,90.000
"C208",29.200,-1.500,top,0.000
"C209",-23.612,-9.250,top,0.000
"C210",21.800,-3.700,top,90.000
"C211",-26.775,-12.000,top,90.000
"C212",30.200,-8.900,top,270.000
"C213",-30.675,-10.287,top,90.000
"C214",26.200,-8.900,top,90.000
"C301",-23.500,18.000,top,180.000
"C302",-26.000,18.040,top,0.000
"C303",10.000,13.500,top,180.000
"C304",-10.500,14.500,top,270.000
"C305",-30.462,16.037,top,270.000
"C306",-28.462,16.037,top,270.000
"C307",-29.262,11.037,top,180.000
"C308",-26.600,5.237,top,180.000
"C309",-18.000,10.000,top,90.000
"C310",-29.262,13.037,top,180.000
"C311",-20.000,10.000,top,90.000
"C312",-33.062,13.037,top,0.000
"C313",21.675,14.000,top,90.000
"D201",37.600,-11.100,top,90.000
"D202",34.400,-9.500,top,180.000
"D203",26.600,-11.800,top,0.000
"D204",33.800,-11.700,top,0.000
"D301",18.875,14.200,top,270.000
"D302",26.475,18.000,top,0.000
"D303",26.475,10.000,top,0.000
"F201",37.400,-15.500,top,270.000
"J103",0.000,-3.500,top,90.000
"J301",0.000,16.500,top,180.000
"L201",-24.775,-15.250,top,180.000
"L202",24.200,-3.900,top,270.000
"Q201",27.000,-14.800,top,90.000
"R201",34.400,-15.900,top,0.000
"R202",34.400,-13.900,top,0.000
"R203",30.600,-15.900,top,180.000
"R204",30.600,-13.900,top,180.000
"R205",22.600,-11.800,top,180.000
"R206",24.200,-14.800,top,90.000
"R207",26.750,5.800,top,0.000
"R208",16.700,-14.900,top,270.000
"R209",-23.612,-7.250,top,180.000
"R210",-20.525,-9.250,top,90.000
"R211",-30.675,-14.287,top,270.000
"R212",28.200,-8.900,top,270.000
"R213",30.200,-4.900,top,90.000
"R214",23.200,-9.100,top,0.000
"R301",-14.500,14.500,top,270.000
"R302",-12.500,14.500,top,270.000
"R303",-16.000,10.500,top,270.000
"R304",-8.500,14.500,top,270.000
"R305",-2.800,11.500,top,270.000
"R306",2.800,11.500,top,90.000
"R307",-19.262,15.637,top,180.000
"R308",-19.262,13.637,top,180.000
"R309",22.075,10.200,top,0.000
"R310",-33.062,11.037,top,180.000
"R311",11.938,-5.763,top,270.000
"R312",30.800,10.200,top,180.000
"SW301",10.000,7.000,top,90.000
"SW302",-10.000,7.000,top,270.000
"U101",-25.230,-1.600,top,270.000
"U201",21.400,-14.800,top,90.000
"U202",-23.612,-12.000,top,180.000
"U203",27.400,-4.700,top,270.000
"U301",0.000,11.500,top,90.000
"U302",-24.262,9.637,top,270.000
"U303",26.475,14.000,top,270.000
"Y301",-24.862,16.037,top,180.000
